id;recipe_id;ingredient_id;quantity;unit
313;127;218;33.34;g
314;127;219;21.67;g
315;127;220;19.17;g
316;128;220;10.72;g
317;128;221;1.79;g
318;129;221;62.5;g
319;130;221;1.34;feuilles
320;130;222;0.0;
321;131;222;1.0;g
322;131;223;30.0;ml
323;132;224;32.73;g
324;132;225;6.37;g
325;132;226;6.37;g
326;133;226;110.0;g
327;133;227;28.34;g
328;134;227;157.5;ml
329;134;228;0.0;
330;135;228;120.0;g
331;136;229;100.0;g
332;137;229;60.0;g
333;137;230;33.34;g
334;138;230;0.09;kg
335;139;230;7.5;g
336;139;231;0.0;
337;140;231;1.0;pavés
338;141;231;106.67;g
339;141;232;3.34;g
340;142;232;160.0;g
341;143;232;50.0;g
342;143;233;12.5;
343;144;233;145.0;g
344;145;234;5.0;g
345;146;234;33.34;ml
346;147;234;30.0;g
347;147;235;3.0;ml
348;148;235;133.34;g
349;148;236;25.0;g
350;148;237;0.34;gousse
351;149;237;11.5;g
352;150;237;212.5;g
353;151;237;70.0;g
354;151;238;12.5;g
355;151;239;0.25;gousse
356;151;240;0.0;
357;152;240;350.0;ml
358;152;241;10.0;g
359;153;241;0.5;L
360;154;241;4.0;g
361;155;241;250.0;g
362;155;242;65.0;g
363;156;242;171.25;g
364;156;243;1.0;g
365;156;244;30.0;
366;157;244;83.75;g
367;157;245;8.75;g
368;157;246;1.5;oeufs
369;158;246;100.0;g
370;158;247;18.75;g
371;159;247;235.0;g
372;159;248;20.0;g
373;160;249;1.0;tranches 
374;160;250;58.34;g
375;161;250;120.0;g
376;162;250;133.34;g
377;163;250;145.0;g
378;164;250;160.0;g
379;165;250;56.67;g
380;165;251;0.0;
381;166;251;70.0;g
382;167;251;25.0;ml
383;167;252;15.63;g
384;168;252;250.0;g
385;168;253;80.0;g
386;169;253;180.0;ml
387;170;253;13.5;ml
388;170;254;0.1;kg
389;170;255;20.0;g
390;171;255;83.34;g
391;172;255;126.67;g
392;172;256;33.34;g
393;173;256;140.0;ml
394;174;256;0.17;L
395;174;257;70.0;g
396;174;258;0.0;
397;175;258;0.25;kg
398;175;259;22.5;g
399;176;259;187.5;g
400;176;260;5.0;
401;177;260;515.0;g
402;177;261;45.0;ml
403;177;262;0.0;
404;178;262;200.0;g
405;179;262;200.0;g
406;180;262;80.0;ml
407;181;262;165.0;ml
408;181;263;0.0;
409;182;264;167.5;g
410;183;264;225.0;ml
411;183;265;162.5;g
412;183;266;3.75;g
413;184;267;108.34;g
414;185;268;0.17;g
415;185;269;66.67;g
416;185;270;0.5;
417;185;271;0.17;
418;186;272;1.0;g
419;186;273;50.0;g
420;186;274;35.0;g
421;186;275;6.67;g
422;187;275;3.0;g
423;187;276;190.0;g
424;187;277;50.0;g
425;188;278;91.67;g
426;188;279;2.5;g
427;188;280;1.67;g
428;189;280;16.67;g
429;190;280;46.67;g
430;190;281;2.0;g
431;191;281;45.0;g
432;191;282;50.0;g
433;191;283;0.0;
434;192;283;58.34;g
435;192;284;23.34;g
436;192;285;0.34;
437;193;285;121.67;g
438;193;286;33.34;cubes
439;194;286;61.25;g
440;194;287;50.0;g
441;194;288;25.0;ml
442;195;288;1.0;g
443;195;289;25.0;
444;196;290;66.67;g
445;196;291;71.67;g
446;197;291;162.5;g
447;197;292;280.0;ml
448;198;292;106.67;ml
449;199;292;40.0;g
450;199;293;75.0;g
451;200;293;70.0;g
452;200;294;60.0;g
453;201;294;0.34;ml
454;201;295;33.34;g
455;202;296;1.67;g
456;202;297;57.5;g
457;203;297;14.0;g
458;203;298;1.0;g
459;204;298;37.5;g
460;204;299;8.75;g
461;205;300;112.5;g
462;206;300;150.0;g
463;206;301;15.0;g
464;206;302;7.5;
465;207;302;25.0;g
466;207;303;45.0;g
467;207;304;120.0;g
468;207;305;15.0;g
469;207;306;15.0;
470;208;306;50.0;g
471;208;307;17.5;g
472;208;308;35.0;
473;209;308;250.0;g
474;210;308;116.67;g
475;210;309;5.0;g
476;210;310;0.84;g
477;210;311;5.0;g
478;211;311;125.0;g
479;212;311;1.0;g
480;213;311;175.0;g
481;213;312;60.0;g
482;214;312;175.0;g
483;215;313;200.0;g
